Company Name,Address,City,State,Zip,Primary Contact,Phone,Email,Website
Copiers Northwest,601 Dexter Ave. N,Seattle,WA,98109.0,Debbie Raphael,206-282-1200,draphael@copiersnw.com,www.copiersnw.com
"Canon Solutions America, Inc.",1 Canon Park,Melville,NY,11747.0,Dawn Rouse,631-330-5448,drouse@csa.canon.com,www.csa.canon.com
Excel Business Systems Inc.,1340 Lumsden Rd. Suite 110,Port Orchard,WA,98367.0,Mark Trenary,253-473-9663,mtrenary@ebs-nw.com,
H&H Business Systems,15320 E Marietta Ste#9,Spokane,WA,99216.0,Yousif Kaddoura,509-828-8988,yousifk@handhsystems.com,
Pacific Office Automation Inc.,1064 4th Avenue South,Seattle,WA,98134.0,James Pierson,206-575-9710,james.pierson@pacificoffice.com,
Pacific Office Equipment Inc.,314 East 8th Street,Port Angeles,WA,98362.0,Tom Baermann,360-417-3600,SALES@POEINC.COM,
"United Business Machines of Washington, Inc.",11050 118th Place NE,Kirkland,WA,98033.0,Todd Gregg,425-827-0611,tgregg@ubmofwa.com,
Fisher's Technology,575 E. 42nd St.,Boise,ID,83714.0,Teresa Jorgensen,208-947-3613,tjorgensen@fisherstech.com,
"ImageSource, Inc.",612 Fifth Ave SW,Olympia,WA,98501.0,Nicholas Coker,360-878-2422,nickc@imagesourceinc.com,
Solutions YES,8300 SW Hunziker St.,Portland,OR,97223.0,Sean Bell,503-597-0937,sean.bell@solutionsyes.com,
Gordon Flesch Company Inc,2675 Research Park Dr,Madison,WI,53711.0,John Meier,608-271-2100,jmeier@gflesch.com,www.gflesch.com
"Canon Solutions America, Inc.",1 Canon Park,Melville,NY,11747.0,Dawn Rouse,631-330-5448,drouse@csa.canon.com,www.csa.canon.com
"Loffler Companies, Inc.",1101 E. 78th St. Suite 200,Bloomington,MN,55420.0,KayDee Ahmad,952-925-6800,reception@loffler.com,
